"DLN","YEAR","CASE #","ROAD SYSTEM CODE","COUNTY","MUNICIPALITY","CRASH DATE","DEPARTMENT NAME","DEPARTMENT #","STATION","LOCATION","ROUTE","SRI","MILEPOST","CROSS STREET","IS RAMP?","RAMP ROUTE","STATE","FIRST EVENT CODE","SECOND EVENT CODE","THIRD EVENT CODE","FOURTH EVENT CODE","MOST HARMFUL EVENT CODE","OTHER PROPERTY DAMAGE","SEVERITY RATING"
"17123218","2017","17001186","02","18","01","2017-01-19 ","BEDMINSTER TWP PD","01","","US 206","206 ","00000206__","78.930 ","ROUTE 523 / LAMINGTON RD","","","NJ","26","51","56","69","26","TRAFFIC POLE AND DO NOT ENTER SIGN AND D.O.T CONTROL CABINET","3"
"17903372","2017","B080-2017-00196A","01","14","39","2017-01-24 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-80","80  ","00000080__","33.500 ","","","","NJ","05","46","","","46","","1"
"17901744","2017","B080-2017-00061A","01","14","01","2017-01-10 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-287","287 ","00000287__","45.500 ","","","","NY","26","06","46","","26","","1"
"17905871","2017","B130-2017-00004A","01","18","01","2017-01-02 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","22.500 ","","","","PA","26","26","06","46","26","100 FEET GUARDRAIL DAMAGE.","1"
"17905871","2017","B130-2017-00004A","01","18","01","2017-01-02 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","22.500 ","","","","NJ","26","26","06","46","26","100 FEET GUARDRAIL DAMAGE.","1"
"17902261","2017","A140-2017-00059A","01","08","09","2017-01-25 ","NEW JERSEY STATE POLICE","02","WOODSTOWN - SQU","I-295","295 ","00000295__","15.000 ","","","","NJ","26","06","48","","48","","1"
"17106503","2017","P1700714617-1160","02","07","14","2017-01-07 ","NEWARK PD","01","3RD","US 1","1   ","00000001__","48.900 ","I 78 ENTRANCE","","","NJ","26","26","48","","","","1"
"17901837","2017","A310-2017-00105A","01","08","20","2017-01-12 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-295","295 ","00000295__","21.500 ","","","","NJ","26","05","48","26","26","CONCRETE BARRIER - NJDOT","2"
"17937166","2017","C020-2017-00005A","01","03","18","2017-01-01 ","NEW JERSEY STATE POLICE","02","BORDENTOWN - SQ","I-295","295 ","00000295__","54.200 ","","","","NJ","26","06","46","15","26","Guardrail damage","4"
"17901518","2017","A310-2017-00087A","01","04","08","2017-01-10 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-676","676 ","00000676__","0.600  ","","","","NJ","26","05","46","","46","","1"
"17900669","2017","B080-2017-00006A","01","14","12","2017-01-03 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-287","287 ","00000287__","38.200 ","","","","NJ","26","48","","","","","2"
"17108842","2017","I-2017-000196","02","12","02","2017-01-09 ","CRANBURY TWP PD","01","","US 130","130 ","00000130__","72.770 ","MAIN ST","","","NJ","26","56","06","50","26","#127D (50) TRAFFIC SIGN  - NJ DOT 1035 PARKWAY AVENUE, PO BOX 600, TRENTON, NJ ?","1"
"17117572","2017","17-48-AC","02","14","03","2017-01-01 ","BUTLER BORO PD","01","","NJ 23","23  ","00000023__","15.100 ","","","","AZ","26","46","","","","","1"
"17117866","2017","2017-001106","02","02","49","2017-01-31 ","RIDGEFIELD BORO PD","01","604 BROAD AVEN?","US 1","1   ","00000001__","61.860 ","MARION PL","","","NJ","69","09","","","","","1"
"17902339","2017","B080-2017-00156A","01","14","12","2017-01-19 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-287","287 ","00000287__","38.900 ","","","","NJ","26","05","46","","26","15 FEET OF GUARDRAIL DAMAGE OWNED BY THE STATE OF NJ","2"
