"DOCUMENT LOCATOR #","YEAR","CASE #","ROAD SYSTEM","COUNTY","MUNICIPALITY","CRASH DATE","POLICE DEPARTMENT NAME","DEPARTMENT TYPE","STATION","LOCATION","ROUTE #","SRI","MILEPOST","CROSS STREET","IS RAMP?","RAMP ROUTE","STATE","FIRST EVENT","SECOND EVENT","THIRD EVENT","FOURTH EVENT","MOST HARMFUL EVENT","OTHER PROPERTY DAMAGE"
"17905871","2017","B130-2017-00004A","Interstate","Somerset","Bedminster Township","1/1/2017","NEW JERSEY STATE POLICE","State Police","SOMERVILLE - SQ","I-287","287 ","00000287__","22.500 ","","","","PA","MV in Transport","MV in Transport","Ran Off Road - Left","Guardrail Face","MV in Transport","100 FEET GUARDRAIL DAMAGE."
"17905871","2017","B130-2017-00004A","Interstate","Somerset","Bedminster Township","1/1/2017","NEW JERSEY STATE POLICE","State Police","SOMERVILLE - SQ","I-287","287 ","00000287__","22.500 ","","","","NJ","MV in Transport","MV in Transport","Ran Off Road - Left","Guardrail Face","MV in Transport","100 FEET GUARDRAIL DAMAGE."
"17937166","2017","C020-2017-00005A","Interstate","Burlington","Mansfield Township","12/31/2016","NEW JERSEY STATE POLICE","State Police","BORDENTOWN - SQ","I-295","295 ","00000295__","54.200 ","","","","NJ","MV in Transport","Ran Off Road - Left","Guardrail Face","15","MV in Transport","Guardrail damage"
"17900669","2017","B080-2017-00006A","Interstate","Morris","Hanover Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","NETCONG - SQUAD","I-287","287 ","00000287__","38.200 ","","","","NJ","MV in Transport","Concrete Traffic Barrier","","","",""
"17117572","2017","17-48-AC","State Highway","Morris","Butler Boro","12/31/2016","BUTLER BORO PD","Municipal Police","","NJ 23","23  ","00000023__","15.100 ","","","","AZ","MV in Transport","Guardrail Face","","","",""
"17106633","2017","17-617-AC","State Highway","Monmouth","Howell Township","1/3/2017","HOWELL TWP PD","Municipal Police","","US 9","9   ","00000009__","109.000","NJ TRANSIT JUGHANDLE","","","NJ","MV in Transport","MV in Transport","Concrete Traffic Barrier","","MV in Transport",""
"17117540","2017","2017-000086","State Highway","Bergen","Ridgefield Boro","1/2/2017","RIDGEFIELD BORO PD","Municipal Police","604 BROAD AVEN?","US 1","1   ","00000001__","61.600 ","MAYER CT","","","TN","MV in Transport","Guardrail Face","","","",""
"17900130","2017","C060-2017-00014A","State Highway","Mercer","Trenton City","1/2/2017","NEW JERSEY STATE POLICE","State Police","HAMILTON-SUB -","NJ 29","29  ","00000029__","2.000  ","","","","NJ","Guardrail Face","","","","Guardrail Face",""
"17900349","2017","B110-2017-00004A","Interstate","Hunterdon","Bethlehem Township","1/1/2017","NEW JERSEY STATE POLICE","State Police","PERRYVILLE - SQ","I-78","78  ","00000078__","9.000  ","","","","NY","Guardrail Face","Ran Off Road - Right","Guardrail Face","","Guardrail Face","50 FEET OF GUARDRAIL LOCATED AT 78 WEST MILE POST 9."
"17900090","2017","B060-2017-00029A","Interstate","Passaic","Paterson City","1/2/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-80","80  ","00000080__","59.000 ","","","","NJ","Ran Off Road - Right","Curb","Guardrail Face","","Guardrail Face",""
"17100482","2017","17-151","State Highway","Mercer","Lawrence Township","1/2/2017","LAWRENCE TWP PD","Municipal Police","","US 1","1   ","00000001__","4.540  ","US 1 BUSINESS","","","PA","Concrete Traffic Barrier","Guardrail Face","","","",""
